medv,crim,nox,rm,age,ptratio
24,0.00632,0.538,6.575,65.2,15.3
21.6,0.02731,0.469,6.421,78.9,17.8
34.7,0.02729,0.469,7.185,61.1,17.8
33.4,0.03237,0.458,6.998,45.8,18.7
36.2,0.06905,0.458,7.147,54.2,18.7
28.7,0.02985,0.458,6.43,58.7,18.7
22.9,0.08829,0.524,6.012,66.6,15.2
27.1,0.14455,0.524,6.172,96.1,15.2
16.5,0.21124,0.524,5.631,100,15.2
18.9,0.17004,0.524,6.004,85.9,15.2
15,0.22489,0.524,6.377,94.3,15.2
18.9,0.11747,0.524,6.009,82.9,15.2
21.7,0.09378,0.524,5.889,39,15.2
20.4,0.62976,0.538,5.949,61.8,21
18.2,0.63796,0.538,6.096,84.5,21
19.9,0.62739,0.538,5.834,56.5,21
23.1,1.05393,0.538,5.935,29.3,21
17.5,0.7842,0.538,5.99,81.7,21
20.2,0.80271,0.538,5.456,36.6,21
18.2,0.7258,0.538,5.727,69.5,21
13.6,1.25179,0.538,5.57,98.1,21
19.6,0.85204,0.538,5.965,89.2,21
15.2,1.23247,0.538,6.142,91.7,21
14.5,0.98843,0.538,5.813,100,21
15.6,0.75026,0.538,5.924,94.1,21
13.9,0.84054,0.538,5.599,85.7,21
16.6,0.67191,0.538,5.813,90.3,21
14.8,0.95577,0.538,6.047,88.8,21
18.4,0.77299,0.538,6.495,94.4,21
21,1.00245,0.538,6.674,87.3,21
12.7,1.13081,0.538,5.713,94.1,21
14.5,1.35472,0.538,6.072,100,21
13.2,1.38799,0.538,5.95,82,21
13.1,1.15172,0.538,5.701,95,21
13.5,1.61282,0.538,6.096,96.9,21
18.9,0.06417,0.499,5.933,68.2,19.2
20,0.09744,0.499,5.841,61.4,19.2
21,0.08014,0.499,5.85,41.5,19.2
24.7,0.17505,0.499,5.966,30.2,19.2
30.8,0.02763,0.428,6.595,21.8,18.3
34.9,0.03359,0.428,7.024,15.8,18.3
26.6,0.12744,0.448,6.77,2.9,17.9
25.3,0.1415,0.448,6.169,6.6,17.9
24.7,0.15936,0.448,6.211,6.5,17.9
21.2,0.12269,0.448,6.069,40,17.9
19.3,0.17142,0.448,5.682,33.8,17.9
20,0.18836,0.448,5.786,33.3,17.9
16.6,0.22927,0.448,6.03,85.5,17.9
14.4,0.25387,0.448,5.399,95.3,17.9
19.4,0.21977,0.448,5.602,62,17.9
19.7,0.08873,0.439,5.963,45.7,16.8
20.5,0.04337,0.439,6.115,63,16.8
25,0.0536,0.439,6.511,21.1,16.8
23.4,0.04981,0.439,5.998,21.4,16.8
18.9,0.0136,0.41,5.888,47.6,21.1
35.4,0.01311,0.403,7.249,21.9,17.9
24.7,0.02055,0.41,6.383,35.7,17.3
31.6,0.01432,0.411,6.816,40.5,15.1
23.3,0.15445,0.453,6.145,29.2,19.7
19.6,0.10328,0.453,5.927,47.2,19.7
18.7,0.14932,0.453,5.741,66.2,19.7
16,0.17171,0.453,5.966,93.4,19.7
22.2,0.11027,0.453,6.456,67.8,19.7
25,0.1265,0.453,6.762,43.4,19.7
33,0.01951,0.4161,7.104,59.5,18.6
23.5,0.03584,0.398,6.29,17.8,16.1
19.4,0.04379,0.398,5.787,31.1,16.1
22,0.05789,0.409,5.878,21.4,18.9
17.4,0.13554,0.409,5.594,36.8,18.9
20.9,0.12816,0.409,5.885,33,18.9
24.2,0.08826,0.413,6.417,6.6,19.2
21.7,0.15876,0.413,5.961,17.5,19.2
22.8,0.09164,0.413,6.065,7.8,19.2
23.4,0.19539,0.413,6.245,6.2,19.2
24.1,0.07896,0.437,6.273,6,18.7
21.4,0.09512,0.437,6.286,45,18.7
20,0.10153,0.437,6.279,74.5,18.7
20.8,0.08707,0.437,6.14,45.8,18.7
21.2,0.05646,0.437,6.232,53.7,18.7
20.3,0.08387,0.437,5.874,36.6,18.7
28,0.04113,0.426,6.727,33.5,19
23.9,0.04462,0.426,6.619,70.4,19
24.8,0.03659,0.426,6.302,32.2,19
22.9,0.03551,0.426,6.167,46.7,19
23.9,0.05059,0.449,6.389,48,18.5
26.6,0.05735,0.449,6.63,56.1,18.5
22.5,0.05188,0.449,6.015,45.1,18.5
22.2,0.07151,0.449,6.121,56.8,18.5
23.6,0.0566,0.489,7.007,86.3,17.8
28.7,0.05302,0.489,7.079,63.1,17.8
22.6,0.04684,0.489,6.417,66.1,17.8
22,0.03932,0.489,6.405,73.9,17.8
22.9,0.04203,0.464,6.442,53.6,18.2
25,0.02875,0.464,6.211,28.9,18.2
20.6,0.04294,0.464,6.249,77.3,18.2
28.4,0.12204,0.445,6.625,57.8,18
21.4,0.11504,0.445,6.163,69.6,18
38.7,0.12083,0.445,8.069,76,18
43.8,0.08187,0.445,7.82,36.9,18
33.2,0.0686,0.445,7.416,62.5,18
