Year    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
1996  79.43  75.86  86.40  72.67  74.93  83.88  79.88  62.47  85.50  83.19  84.29  89.79
1997  78.72  77.49  89.94  81.35  78.76  89.59  83.75  69.87  91.18  89.52  91.12  92.97
1998  81.97  85.26  93.09  81.19  85.74  91.24  83.56  66.45  93.45  86.03  86.91  93.42
1999  81.68  81.68  91.35  79.55  87.08  96.71  98.10  79.22 103.68 101.00  99.52 111.94
2000  95.42  98.49 116.37 101.09 104.20 114.79 107.75  96.23 123.65 116.24 117.00 128.75
2001 100.69 102.99 119.21  92.56  98.86 111.26  96.25  79.81 102.18  96.28 101.38 109.97
2002  89.66  89.23 104.36  87.17  89.43 102.25  88.26  75.73  99.60  96.57  96.22 101.12
2003  89.45  86.87  98.94  85.62  85.31 101.22  91.93  77.01 104.50  99.83 101.10 109.16
2004  89.93  92.73 105.22  91.56  92.60 104.46  96.28  79.61 105.55  99.15  99.81 113.72
2005  91.73  90.45 105.56  92.15  91.23 108.95  99.33  83.30 110.85 104.99 107.10 114.38
2006  99.09  99.73 116.05 103.51 102.99 119.45 107.98  90.50 121.85 117.12 113.66 120.35
2007 103.92 103.97 125.63 104.69 108.36 123.09 108.88  93.98 121.94 116.79 115.78 127.28
2008 109.35 105.64 121.30 108.62 103.13 117.84 103.62  89.22 109.41 103.93 100.07 101.15
2009  77.33  75.01  86.31  74.09  74.09  85.58  79.84  65.24  87.92  84.45  87.93 102.42
2010  79.16  78.40  94.32  84.45  84.92 103.18  89.42  77.66  95.68  94.03 100.99 101.26
2011  91.47  87.66 103.33  88.56  92.32 102.21  92.80  76.44  94.00  91.67  91.98    NA   
